//-----------------------------------------------
//メッシュフィールドの配置処理
//Author: 加藤瑞葵
//-----------------------------------------------
SET_MESHFIELD
vertical = 50
line = 50
width = 5000.00
depth = 5000.00
-2500.00 242.04 2500.00
-2400.00 272.97 2500.00
-2300.00 235.29 2500.00
-2200.00 191.16 2500.00
-2100.00 152.68 2500.00
-2000.00 158.14 2500.00
-1900.00 186.16 2500.00
-1800.00 271.40 2500.00
-1700.00 267.25 2500.00
-1600.00 226.71 2500.00
-1500.00 202.44 2500.00
-1400.00 188.84 2500.00
-1300.00 156.40 2500.00
-1200.00 232.69 2500.00
-1100.00 218.09 2500.00
-1000.00 224.33 2500.00
-900.00 222.20 2500.00
-800.00 196.64 2500.00
-700.00 210.80 2500.00
-600.00 190.91 2500.00
-500.00 197.48 2500.00
-400.00 186.56 2500.00
-300.00 201.95 2500.00
-200.00 208.46 2500.00
-100.00 215.03 2500.00
0.00 215.45 2500.00
100.00 200.06 2500.00
200.00 205.05 2500.00
300.00 208.92 2500.00
400.00 199.98 2500.00
500.00 213.07 2500.00
600.00 205.75 2500.00
700.00 227.99 2500.00
800.00 205.25 2500.00
900.00 203.26 2500.00
1000.00 189.91 2500.00
1100.00 176.29 2500.00
1200.00 142.55 2500.00
1300.00 118.44 2500.00
1400.00 128.30 2500.00
1500.00 155.65 2500.00
1600.00 180.12 2500.00
1700.00 264.04 2500.00
1800.00 256.49 2500.00
1900.00 251.86 2500.00
2000.00 243.45 2500.00
2100.00 243.05 2500.00
2200.00 259.45 2500.00
2300.00 266.78 2500.00
2400.00 232.26 2500.00
2500.00 211.69 2500.00
-2500.00 261.10 2400.00
-2400.00 300.64 2400.00
-2300.00 279.02 2400.00
-2200.00 195.08 2400.00
-2100.00 192.93 2400.00
-2000.00 204.30 2400.00
-1900.00 284.74 2400.00
-1800.00 298.19 2400.00
-1700.00 273.50 2400.00
-1600.00 239.25 2400.00
-1500.00 210.43 2400.00
-1400.00 174.16 2400.00
-1300.00 154.10 2400.00
-1200.00 195.36 2400.00
-1100.00 187.70 2400.00
-1000.00 188.46 2400.00
-900.00 180.25 2400.00
-800.00 188.40 2400.00
-700.00 179.96 2400.00
-600.00 173.68 2400.00
-500.00 167.78 2400.00
-400.00 163.21 2400.00
-300.00 152.35 2400.00
-200.00 161.52 2400.00
-100.00 169.66 2400.00
0.00 173.29 2400.00
100.00 171.10 2400.00
200.00 163.21 2400.00
300.00 171.67 2400.00
400.00 168.79 2400.00
500.00 177.63 2400.00
600.00 175.91 2400.00
700.00 170.58 2400.00
800.00 176.20 2400.00
900.00 152.14 2400.00
1000.00 141.18 2400.00
1100.00 124.77 2400.00
1200.00 100.46 2400.00
1300.00 84.23 2400.00
1400.00 115.91 2400.00
1500.00 138.63 2400.00
1600.00 152.21 2400.00
1700.00 192.75 2400.00
1800.00 201.03 2400.00
1900.00 199.90 2400.00
2000.00 188.19 2400.00
2100.00 190.97 2400.00
2200.00 194.85 2400.00
2300.00 195.75 2400.00
2400.00 194.38 2400.00
2500.00 187.36 2400.00
-2500.00 290.06 2300.00
-2400.00 309.92 2300.00
-2300.00 282.66 2300.00
-2200.00 213.79 2300.00
-2100.00 208.25 2300.00
-2000.00 228.83 2300.00
-1900.00 283.60 2300.00
-1800.00 279.02 2300.00
-1700.00 269.91 2300.00
-1600.00 228.03 2300.00
-1500.00 213.74 2300.00
-1400.00 182.73 2300.00
-1300.00 188.66 2300.00
-1200.00 156.17 2300.00
-1100.00 154.90 2300.00
-1000.00 141.94 2300.00
-900.00 140.98 2300.00
-800.00 133.12 2300.00
-700.00 137.27 2300.00
-600.00 128.55 2300.00
-500.00 126.42 2300.00
-400.00 109.64 2300.00
-300.00 105.23 2300.00
-200.00 110.91 2300.00
-100.00 106.91 2300.00
0.00 118.97 2300.00
100.00 111.24 2300.00
200.00 115.09 2300.00
300.00 112.60 2300.00
400.00 121.74 2300.00
500.00 121.23 2300.00
600.00 127.13 2300.00
700.00 112.61 2300.00
800.00 120.38 2300.00
900.00 111.00 2300.00
1000.00 94.39 2300.00
1100.00 77.03 2300.00
1200.00 67.34 2300.00
1300.00 63.47 2300.00
1400.00 80.70 2300.00
1500.00 93.43 2300.00
1600.00 101.13 2300.00
1700.00 131.08 2300.00
1800.00 137.89 2300.00
1900.00 130.50 2300.00
2000.00 116.10 2300.00
2100.00 140.09 2300.00
2200.00 135.94 2300.00
2300.00 148.80 2300.00
2400.00 147.64 2300.00
2500.00 158.63 2300.00
-2500.00 293.40 2200.00
-2400.00 310.53 2200.00
-2300.00 268.34 2200.00
-2200.00 204.08 2200.00
-2100.00 201.19 2200.00
-2000.00 290.18 2200.00
-1900.00 257.59 2200.00
-1800.00 240.31 2200.00
-1700.00 228.50 2200.00
-1600.00 224.10 2200.00
-1500.00 192.26 2200.00
-1400.00 164.59 2200.00
-1300.00 148.47 2200.00
-1200.00 117.11 2200.00
-1100.00 102.63 2200.00
-1000.00 96.12 2200.00
-900.00 102.36 2200.00
-800.00 95.51 2200.00
-700.00 99.07 2200.00
-600.00 93.42 2200.00
-500.00 60.49 2200.00
-400.00 61.19 2200.00
-300.00 59.68 2200.00
-200.00 57.14 2200.00
-100.00 57.85 2200.00
0.00 61.81 2200.00
100.00 62.06 2200.00
200.00 62.05 2200.00
300.00 69.04 2200.00
400.00 68.46 2200.00
500.00 65.46 2200.00
600.00 65.48 2200.00
700.00 62.17 2200.00
800.00 62.15 2200.00
900.00 49.41 2200.00
1000.00 44.62 2200.00
1100.00 36.77 2200.00
1200.00 22.94 2200.00
1300.00 33.14 2200.00
1400.00 49.20 2200.00
1500.00 52.97 2200.00
1600.00 64.72 2200.00
1700.00 62.97 2200.00
1800.00 64.07 2200.00
1900.00 60.46 2200.00
2000.00 71.85 2200.00
2100.00 61.86 2200.00
2200.00 114.53 2200.00
2300.00 111.36 2200.00
2400.00 119.28 2200.00
2500.00 150.75 2200.00
-2500.00 289.58 2100.00
-2400.00 290.59 2100.00
-2300.00 274.76 2100.00
-2200.00 223.31 2100.00
-2100.00 322.33 2100.00
-2000.00 263.49 2100.00
-1900.00 217.99 2100.00
